feature,coef_woe,iv
bureau_score,-0.5974429590620747,0.6014246539431338
interest_rate_pct,-0.08580510868374445,0.5121866509932861
utilization_pct,-0.47920282943015546,0.4761668591394804
worst_status_24m,-1.146265937732484,0.3305185187932442
delinquencies_2y,-0.6594567493772477,0.28284065895610533
months_since_last_delinquency_missing,0.8653301375365112,0.26327312750333276
months_since_last_delinquency,0.03890136155733549,0.13975986410842955
prior_bankruptcies,-1.1712084291295923,0.10470652075102263
inquiries_6m,-0.4729756512453729,0.0972363386764786
public_records,-1.15234661263714,0.02546379101202423
