feature,iv,type
bureau_score,0.6014246539431338,numeric
interest_rate_pct,0.5121866509932861,numeric
utilization_pct,0.4761668591394804,numeric
worst_status_24m,0.3305185187932442,discrete_numeric
delinquencies_2y,0.28284065895610533,discrete_numeric
months_since_last_delinquency_missing,0.26327312750333276,discrete_numeric
months_since_last_delinquency,0.13975986410842955,numeric
prior_bankruptcies,0.10470652075102263,discrete_numeric
inquiries_6m,0.0972363386764786,numeric
public_records,0.02546379101202423,discrete_numeric
debt_to_income_pct,0.018527721802163156,numeric
employment_length_years,0.01562867418368314,numeric
home_ownership,0.013361857645819562,categorical
age,0.0123352602689844,numeric
employment_length_years_missing,0.011683218750599574,discrete_numeric
credit_history_length_years,0.010829029624259882,numeric
annual_income,0.010145848307677452,numeric
log_annual_income,0.010145848307677452,numeric
payment_to_income,0.009368676734425199,numeric
annual_income_missing,0.009230038620617918,discrete_numeric
loan_to_income,0.005587389674600603,numeric
loan_purpose,0.003227078894242052,categorical
num_credit_lines,0.000991451152713663,numeric
log_loan_amount,0.00042194313439196894,discrete_numeric
loan_amount,0.00042194313439196894,discrete_numeric
loan_term_months,9.943825156893653e-06,discrete_numeric
